Country;2017;2019;2022
Albania;2;1;1
Algeria;0;0;0
Angola;1;1;1
Antigua and Barbuda;1;1;1
Argentina;2;2;2
Armenia;2;1;1
Australia;2;2;2
Austria;2;2;2
Azerbaijan;2;2;2
Bahamas;0;0;0
Bahrain;1;1;1
Bangladesh;1;1;1
Barbados;0;0;0
Belarus;0;0;0
Belgium;2;2;2
Belize;0;0;0
Benin;0;0;0
Bhutan;0;0;0
Bolivia;0;1;1
Bosnia and Herzegovina;1;1;1
Botswana;1;2;2
Brazil;2;2;2
Brunei Darussalam;2;2;2
Bulgaria;1;1;1
Burkina Faso;0;0;0
Burundi;0;0;0
Cambodia;1;1;1
Cameroon;0;0;0
Canada;1;1;2
Central African Republic;0;0;0
Chad;0;0;0
Chile;2;2;2
China;2;2;2
Chinese Taipei;1;1;1
Colombia;1;1;2
Comoros;0;0;0
Congo;0;0;0
Costa Rica;1;2;2
Croatia;2;2;2
Cuba;0;0;0
Cyprus;2;2;2
Czechia;2;2;2
Côte d'Ivoire;0;0;0
Denmark;2;2;2
Djibouti;0;0;0
Dominica;1;1;1
Dominican Republic;0;0;0
DRC;0;0;0
Ecuador;2;2;2
Egypt;2;2;2
El Salvador;2;2;2
Estonia;2;2;2
Eswatini;1;1;1
Ethiopia;0;0;0
Fiji;1;1;1
Finland;2;2;2
France;2;2;2
Gabon;0;0;0
Gambia;0;0;0
Georgia;2;2;2
Germany;2;2;2
Ghana;1;1;1
Greece;2;2;2
Guatemala;1;1;1
Honduras;0;2;2
Hong Kong, China;2;2;2
Hungary;2;2;2
Iceland;–;2;2
India;2;2;2
Indonesia;0;1;2
Ireland;2;2;2
Israel;2;2;2
Italy;2;2;2
Jamaica;1;1;1
Japan;2;2;2
Jordan;1;1;0
Kazakhstan;2;2;2
Kenya;2;2;2
Kiribati;0;0;0
Korea;2;2;2
Kuwait;1;1;1
Kyrgyzstan;0;0;0
Lao PDR;0;1;1
Latvia;2;2;2
Lebanon;1;1;1
Lesotho;1;1;1
Liberia;0;0;0
Lithuania;1;2;2
Luxembourg;2;2;2
Madagascar;1;1;1
Malawi;1;1;1
Malaysia;1;1;1
Maldives;1;1;1
Mali;0;0;1
Malta;2;2;2
Mauritius;2;2;2
Mexico;2;2;2
Micronesia;0;0;0
Moldova;1;1;1
Mongolia;0;0;0
Montenegro;2;2;2
Morocco;2;2;2
Mozambique;1;0;1
Myanmar;0;0;0
Namibia;1;1;1
Nepal;0;0;0
Netherlands;2;2;2
New Zealand;2;2;2
Nicaragua;1;1;1
Niger;0;0;0
Nigeria;1;1;1
North Macedonia;1;2;2
Norway;2;2;2
Oman;1;1;2
Pakistan;1;1;1
Palau;0;0;1
Panama;2;2;2
Papua New Guinea;1;1;1
Paraguay;1;1;1
Peru;1;2;2
Philippines;1;1;1
Poland;2;2;2
Portugal;1;1;2
Qatar;1;1;1
Romania;1;1;1
Russia;2;2;2
Rwanda;0;0;0
Samoa;0;0;0
Saudi Arabia;1;1;1
Senegal;1;1;1
Serbia;1;1;1
Sierra Leone;0;0;0
Singapore;2;2;2
Slovak Republic;2;2;2
Slovenia;2;2;2
Solomon Islands;0;0;0
South Africa;2;2;2
Spain;2;2;2
Sri Lanka;1;1;1
Sudan;0;0;0
Suriname;0;0;0
Sweden;2;2;2
Switzerland;1;2;2
Tajikistan;2;2;2
Tanzania;1;1;1
Thailand;1;2;2
Togo;0;0;0
Tonga;1;1;1
Trinidad and Tobago;2;1;1
Tunisia;1;1;1
Türkiye;1;1;1
Uganda;1;1;1
Ukraine;1;1;1
United Arab Emirates;1;2;1
United Kingdom;2;2;2
United States;2;2;2
Uruguay;1;1;2
Uzbekistan;2;2;2
Vanuatu;0;0;1
Venezuela;2;2;2
Viet Nam;2;1;1
Yemen;0;0;0
Zambia;0;1;1
Zimbabwe;1;1;1
