entity;knowledge_emp
Luxembourg;64.1%
Singapore;59.9%
Sweden;57.1%
Netherlands (Kingdom of the);53.6%
Norway;52.3%
Iceland;52.2%
Israel;51.9%
Australia;51.5%
United States of America;51.5%
Switzerland;50.9%
United Kingdom;50.6%
Belgium;49.2%
Denmark;48.9%
France;47.7%
Finland;47.4%
Ireland;47.2%
Estonia;46.8%
Slovenia;46.7%
Lithuania;46.6%
Germany;46.1%
Malta;45.5%
Russian Federation;45.5%
Latvia;44.7%
Austria;44.3%
Canada;43.7%
Portugal;41.9%
Belarus;41.7%
Poland;41.5%
Hong Kong, China;40.7%
Czech Republic;40.0%
Republic of Korea;39.6%
Hungary;38.7%
Cyprus;38.4%
Slovakia;38.3%
Nigeria;38.1%
Ukraine;37.9%
Kazakhstan;36.9%
Montenegro;36.7%
Italy;35.7%
Spain;35.7%
Croatia;35.2%
United Arab Emirates;35.1%
Brunei Darussalam;33.5%
North Macedonia;33.2%
Bulgaria;32.6%
Greece;32.0%
Chile;31.9%
Trinidad and Tobago;31.9%
Serbia;28.3%
Malaysia;28.2%
Romania;28.2%
Lebanon;27.5%
Mongolia;26.8%
Argentina;25.3%
Bosnia and Herzegovina;25.2%
Georgia;24.7%
Uruguay;24.7%
Colombia;24.2%
Brazil;23.9%
Türkiye;23.9%
Botswana;23.3%
Azerbaijan;23.2%
Mauritius;23.2%
Jordan;23.0%
Egypt;22.8%
Kuwait;22.7%
South Africa;22.3%
Bahrain;21.9%
Qatar;21.9%
Sri Lanka;21.7%
Jamaica;21.6%
Costa Rica;21.4%
Japan;20.8%
Paraguay;20.6%
Mexico;20.0%
Iran (Islamic Republic of);19.9%
Armenia;18.7%
Albania;18.4%
Kyrgyzstan;18.1%
Namibia;18.1%
Algeria;17.9%
Republic of Moldova;17.7%
Philippines;17.5%
Cabo Verde;17.1%
Oman;15.9%
Tunisia;15.9%
Niger;15.3%
Dominican Republic;15.2%
Peru;14.9%
El Salvador;14.8%
Togo;14.1%
Bolivia (Plurinational State of);13.9%
Kenya;13.8%
Nicaragua;13.8%
Thailand;13.7%
Lao People’s Democratic Republic;13.6%
Burkina Faso;13.3%
Nepal;13.2%
India;13.0%
Ecuador;12.5%
Honduras;12.3%
Pakistan;11.4%
Cameroon;10.9%
Indonesia;10.9%
Panama;10.9%
Zambia;10.6%
Ghana;9.6%
Zimbabwe;9.4%
Guatemala;9.3%
Bangladesh;8.3%
Morocco;8.1%
Viet Nam;7.8%
Angola;7.5%
Guinea;7.4%
Côte d’Ivoire;7.1%
Rwanda;6.5%
Benin;6.1%
Cambodia;5.9%
Senegal;4.6%
Uganda;4.5%
Ethiopia;4.4%
Mozambique;3.9%
Madagascar;3.7%
Mali;3.6%
United Republic of Tanzania;3.2%
Burundi;2.7%
