Country;Requirement Compliance Score
Albania;6
Argentina;6
Australia;6
Austria;6
Bahrain;6
Belgium;6
Bosnia and Herzegovina;6
Brazil;6
Bulgaria;6
Canada;6
Chile;6
China;6
Colombia;4
Croatia;6
Czech Republic;6
Denmark;6
Dominican Republic;6
Ecuador;6
Estonia;6
Finland;6
France;6
Georgia;6
Germany;6
Ghana;6
Gibraltar;6
Greece;6
Guernsey;6
Honduras;6
Hong Kong;6
Hungary;6
Iceland;6
India;6
Indonesia;6
Ireland;6
Israel;6
Italy;6
Japan;6
Jordan;6
Kazakhstan;6
Kenya;6
Kosovo;6
Kyrgyzstan;6
Latvia;6
Lesotho;6
Lithuania;6
Luxembourg;6
Malaysia;6
Malta;6
Mexico;6
Moldova;6
Monaco;6
Mongolia;6
Montenegro;6
Netherlands;6
New Zealand;6
Nigeria;6
North Macedonia;6
Norway;6
Panama;6
Paraguay;4
Peru;6
Philippines;6
Poland;6
Portugal;6
Qatar;6
Romania;6
Russia;6
Rwanda;6
Saudi Arabia;6
Serbia;6
Seychelles;6
Singapore;6
Slovak Republic;6
Slovenia;6
South Africa;6
South Korea;6
Spain;6
Sri Lanka;6
Sweden;6
Switzerland;6
Taiwan;6
Tanzania;6
Thailand;6
Tunisia;6
Turkey;6
Ukraine;6
United Kingdom;6
Vietnam;6
Kuwait;4
United States;4
Bolivia;2
Burundi;2
Cambodia;4
El Salvador;4
Fiji;2
Guatemala;2
Libya;2
Mozambique;2
Namibia;2
Venezuela;2
